docId,date,count
ACC_45615,2020-08-27,6
ACC_45615,2020-08-28,5
ACC_45615,2020-08-29,8
ACC_45615,2020-08-30,2
ACC_45615,2020-09-01,1
ACC_45615,2020-09-03,7
ACC_45615,2020-09-04,6
ACC_45615,2020-09-05,2
ACC_45615,2020-09-06,3
ACC_45615,2020-09-07,1
ACC_45615,2020-09-08,6
ACC_45615,2020-09-09,3
ACC_45615,2020-09-10,5
ACC_45615,2020-09-11,2
ACC_45615,2020-09-12,4
ACC_45615,2020-09-13,1
ACC_45615,2020-09-15,2
ACC_45615,2020-09-16,8
ACC_45615,2020-09-17,2
ACC_45615,2020-09-18,8
ACC_45615,2020-09-19,5
ACC_45615,2020-09-20,3
ACC_45615,2020-09-21,1
ACC_45615,2020-09-22,2
ACC_45615,2020-09-23,5
ACC_45615,2020-09-24,1
ACC_45615,2020-09-25,5
ACC_45615,2020-09-26,2
ACC_45615,2020-09-27,2
ACC_45615,2020-09-28,3
ACC_45615,2020-09-29,1
ACC_45615,2020-09-30,2
ACC_45615,2020-10-01,2
ACC_45615,2020-10-02,4
ACC_45615,2020-10-03,1
ACC_45615,2020-10-04,3
ACC_45615,2020-10-05,2
ACC_45615,2020-10-06,3
ACC_45615,2020-10-07,3
ACC_45615,2020-10-08,2
ACC_45615,2020-10-09,4
ACC_45615,2020-10-10,4
ACC_45615,2020-10-11,1
ACC_45615,2020-10-13,1
ACC_45615,2020-10-14,4
ACC_45615,2020-10-15,5
ACC_45615,2020-10-16,2
ACC_45615,2020-10-17,2
ACC_45615,2020-10-18,1
ACC_45615,2020-10-19,1
ACC_45615,2020-10-20,1
ACC_45615,2020-10-21,3
ACC_45615,2020-10-22,2
ACC_45615,2020-10-23,3
ACC_45615,2020-10-26,3
ACC_45615,2020-10-27,2
ACC_45615,2020-10-28,6
ACC_45615,2020-10-29,4
ACC_45615,2020-10-30,3
ACC_45615,2020-10-31,3
ACC_45615,2020-11-01,2
ACC_45615,2020-11-02,4
ACC_45615,2020-11-03,7
ACC_45615,2020-11-04,1
ACC_45615,2020-11-05,3
ACC_45615,2020-11-06,7
ACC_45615,2020-11-07,1
ACC_45615,2020-11-08,2
ACC_45615,2020-11-09,3
ACC_45615,2020-11-10,5
ACC_45615,2020-11-12,7
ACC_45615,2020-11-13,4
ACC_45615,2020-11-14,7
ACC_45615,2020-11-15,1
ACC_45615,2020-11-17,5
ACC_45615,2020-11-18,4
ACC_45615,2020-11-19,5
ACC_45615,2020-11-20,5
ACC_45615,2020-11-21,1
ACC_45615,2020-11-22,6
ACC_45615,2020-11-24,3
ACC_45615,2020-11-25,3
ACC_45615,2020-11-26,3
ACC_45615,2020-11-27,1
ACC_45615,2020-11-28,2
ACC_45615,2020-11-29,3
ACC_45615,2020-11-30,4
ACC_45615,2020-12-01,3
ACC_45615,2020-12-02,1
ACC_45615,2020-12-03,2
ACC_45615,2020-12-05,5
ACC_45615,2020-12-06,4
ACC_45615,2020-12-07,4
ACC_45615,2020-12-08,4
ACC_45615,2020-12-09,2
ACC_45615,2020-12-10,4
ACC_45615,2020-12-11,5
ACC_45615,2020-12-12,5
ACC_45615,2020-12-13,8
ACC_45615,2020-12-14,4
ACC_45615,2020-12-15,5
ACC_45615,2020-12-16,1
ACC_45615,2020-12-17,1
ACC_45615,2020-12-18,3
ACC_45615,2020-12-20,9
ACC_45615,2020-12-21,3
ACC_45615,2020-12-22,4
ACC_45615,2020-12-23,1
ACC_45615,2020-12-24,4
ACC_45615,2020-12-25,1
ACC_45615,2020-12-26,1
ACC_45616,2020-01-01,1
ACC_45616,2020-01-02,4
ACC_45616,2020-01-03,5
ACC_45616,2020-01-04,1
ACC_45616,2020-01-05,4
ACC_45616,2020-01-06,7
ACC_45616,2020-01-07,6
ACC_45616,2020-01-08,3
